Unidade Gestora;Ano;Número;Tipo;Fornecedor;Valor Total
MUNICIPIO DE NAVEGANTES;2021;2582;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2581;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2580;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2579;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2578;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;2778.00
MUNICIPIO DE NAVEGANTES;2021;2577;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2576;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;17368.00
MUNICIPIO DE NAVEGANTES;2021;2575;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;8760.00
MUNICIPIO DE NAVEGANTES;2021;2574;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2573;Ordinária;PARANA INDUSTRIA E COMERCIO DE REDES E CORDAS LTDA;2692.00
MUNICIPIO DE NAVEGANTES;2021;2572;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;5840.00
MUNICIPIO DE NAVEGANTES;2021;2571;Ordinária;FOOT COMERCIAL LTDA ME;3896.00
MUNICIPIO DE NAVEGANTES;2021;2570;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;11629.00
MUNICIPIO DE NAVEGANTES;2021;2569;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;3390.00
MUNICIPIO DE NAVEGANTES;2021;2568;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;1852.00
MUNICIPIO DE NAVEGANTES;2021;2567;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2566;Ordinária;PARANA INDUSTRIA E COMERCIO DE REDES E CORDAS LTDA;9384.00
